rule_id,dimension,stratum,n_stratum,n_rule_group,n_comparison_group,severe_rate_rule,severe_rate_comparison,observed_rate_difference,model_risk_rule,model_risk_comparison,model_risk_difference,eligible_main_stratum
R08,Accident_Year,2019,1954,274,1680,0.2116788321167883,0.21964285714285714,-0.007964025026068827,0.17661285945899083,0.1697249795765002,0.006887879882490622,False
R08,Accident_Year,2020,2447,253,2194,0.20948616600790515,0.11896080218778486,0.09052536382012029,0.15609549020859062,0.12386290278931095,0.032232587419279674,False
R08,Accident_Year,2021,2784,257,2527,0.14396887159533073,0.09022556390977443,0.053743307685556296,0.16592369141681343,0.13032327927663173,0.0356004121401817,False
R08,Accident_Year,2022,2380,218,2162,0.09174311926605505,0.06753006475485661,0.024213054511198442,0.16764433785488395,0.1332746552205674,0.034369682634316556,False
R08,Accident_Year,2023,433,15,418,0.0,0.0023923444976076554,-0.0023923444976076554,0.1408820114037198,0.11970426810533716,0.02117774329838265,False
R09,Source,Source1,9146,661,8485,0.05446293494704992,0.04395992928697702,0.010503005660072902,0.1549509625328155,0.13986110103585742,0.015089861496958096,True
R09,Source,Source2,6481,456,6025,0.5394736842105263,0.33991701244813277,0.19955667176239356,0.26422625655509085,0.22461271382589498,0.03961354272919587,True
R09,Source,Source3,373,17,356,0.4117647058823529,0.3342696629213483,0.07749504296100462,0.1908776341013998,0.1521159057546257,0.038761728346774105,False
R09,State,CA,11965,939,11026,0.24281150159744408,0.1552693633230546,0.08754213827438947,0.19995186547075705,0.16965003503529996,0.03030183043545709,True
R09,State,TX,4035,195,3840,0.3128205128205128,0.215625,0.09719551282051281,0.1969224478256177,0.18843880709367108,0.008483640731946629,True
R09,Accident_Year,2016,1328,90,1238,0.5444444444444444,0.33360258481421645,0.21084185963022795,0.3451986650653472,0.2916861357698329,0.05351252929551431,False
R09,Accident_Year,2017,1659,98,1561,0.6020408163265306,0.34657270980140936,0.25546810652512125,0.31556765301267553,0.27657633431147416,0.03899131870120137,False
R09,Accident_Year,2018,1621,85,1536,0.5411764705882353,0.349609375,0.19156709558823526,0.3573752429182642,0.2799187692157369,0.07745647370252734,False
R09,Accident_Year,2019,1954,161,1793,0.33540372670807456,0.20803123257110986,0.1273724941369647,0.1758683741437292,0.17022592356003538,0.005642450583693809,False
R09,Accident_Year,2020,2447,204,2243,0.16176470588235295,0.12527864467231387,0.036486061210039084,0.15061882603717133,0.12506514811900965,0.025553677918161682,False
R09,Accident_Year,2021,2784,258,2526,0.11627906976744186,0.09303246239113222,0.02324660737630964,0.15045335193653342,0.13188929161779245,0.01856406031874097,False
